0016070 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
00163K3 Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Percutaneous Approach
00163K4 Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Approach
00163K5 Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Percutaneous Approach
00163K6 Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Approach
00163K7 Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Approach
00163K8 Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Percutaneous Approach
00163KB Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Percutaneous Approach
00163ZB Bypass Cerebral Ventricle to Cerebral Cisterns, Percutaneous Approach
0016470 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016471 Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016472 Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016473 Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016474 Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016475 Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016476 Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016477 Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
0016478 Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
001647B Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
00164J0 Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J1 Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J2 Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J3 Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J4 Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J5 Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J6 Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J7 Bypass Cerebral Ventricle to Urinary Tract with Synthetic Substitute, Percutaneous Endoscopic Approach
00164J8 Bypass Cerebral Ventricle to Bone Marrow with Synthetic Substitute, Percutaneous Endoscopic Approach
00164JB Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Percutaneous Endoscopic Approach
00164K0 Bypass Cerebral Ventricle to Nasopharynx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K1 Bypass Cerebral Ventricle to Mastoid Sinus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K2 Bypass Cerebral Ventricle to Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K3 Bypass Cerebral Ventricle to Blood Vessel with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K4 Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K5 Bypass Cerebral Ventricle to Intestine with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K6 Bypass Cerebral Ventricle to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K7 Bypass Cerebral Ventricle to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164K8 Bypass Cerebral Ventricle to Bone Marrow with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164KB Bypass Cerebral Ventricle to Cerebral Cisterns with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
00164ZB Bypass Cerebral Ventricle to Cerebral Cisterns, Percutaneous Endoscopic Approach
001U074 Bypass Spinal Canal to Pleural Cavity with Autologous Tissue Substitute, Open Approach
001U076 Bypass Spinal Canal to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach
001U077 Bypass Spinal Canal to Urinary Tract with Autologous Tissue Substitute, Open Approach
001U079 Bypass Spinal Canal to Fallopian Tube with Autologous Tissue Substitute, Open Approach
001U0J4 Bypass Spinal Canal to Pleural Cavity with Synthetic Substitute, Open Approach
001U0J6 Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Open Approach
001U0J7 Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Open Approach
001U0J9 Bypass Spinal Canal to Fallopian Tube with Synthetic Substitute, Open Approach
001U0K4 Bypass Spinal Canal to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach
001U0K6 Bypass Spinal Canal to Peritoneal Cavity with Nonautologous Tissue Substitute, Open Approach
001U0K7 Bypass Spinal Canal to Urinary Tract with Nonautologous Tissue Substitute, Open Approach
001U0K9 Bypass Spinal Canal to Fallopian Tube with Nonautologous Tissue Substitute, Open Approach
001U374 Bypass Spinal Canal to Pleural Cavity with Autologous Tissue Substitute, Percutaneous Approach
001U376 Bypass Spinal Canal to Peritoneal Cavity with Autologous Tissue Substitute, Percutaneous Approach
001U377 Bypass Spinal Canal to Urinary Tract with Autologous Tissue Substitute, Percutaneous Approach
001U379 Bypass Spinal Canal to Fallopian Tube with Autologous Tissue Substitute, Percutaneous Approach
001U3J4 Bypass Spinal Canal to Pleural Cavity with Synthetic Substitute, Percutaneous Approach
001U3J6 Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach
001U3J7 Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Percutaneous Approach
001U3J9 Bypass Spinal Canal to Fallopian Tube with Synthetic Substitute, Percutaneous Approach
001U3K4 Bypass Spinal Canal to Pleural Cavity with Nonautologous Tissue Substitute, Percutaneous Approach
001U3K6 Bypass Spinal Canal to Peritoneal Cavity with Nonautologous Tissue Substitute, Percutaneous Approach
001U3K7 Bypass Spinal Canal to Urinary Tract with Nonautologous Tissue Substitute, Percutaneous Approach
001U3K9 Bypass Spinal Canal to Fallopian Tube with Nonautologous Tissue Substitute, Percutaneous Approach
0020X0Z Change Drainage Device in Brain, External Approach
0020XYZ Change Other Device in Brain, External Approach
002EX0Z Change Drainage Device in Cranial Nerve, External Approach
002EXYZ Change Other Device in Cranial Nerve, External Approach
002UX0Z Change Drainage Device in Spinal Canal, External Approach
002UXYZ Change Other Device in Spinal Canal, External Approach
00500ZZ Destruction of Brain, Open Approach
00503ZZ Destruction of Brain, Percutaneous Approach
00504ZZ Destruction of Brain, Percutaneous Endoscopic Approach
00510ZZ Destruction of Cerebral Meninges, Open Approach
00513ZZ Destruction of Cerebral Meninges, Percutaneous Approach
00514ZZ Destruction of Cerebral Meninges, Percutaneous Endoscopic Approach
00520ZZ Destruction of Dura Mater, Open Approach
00523ZZ Destruction of Dura Mater, Percutaneous Approach
00524ZZ Destruction of Dura Mater, Percutaneous Endoscopic Approach
00560ZZ Destruction of Cerebral Ventricle, Open Approach
00563ZZ Destruction of Cerebral Ventricle, Percutaneous Approach
00564ZZ Destruction of Cerebral Ventricle, Percutaneous Endoscopic Approach
00570ZZ Destruction of Cerebral Hemisphere, Open Approach
00573ZZ Destruction of Cerebral Hemisphere, Percutaneous Approach
00574ZZ Destruction of Cerebral Hemisphere, Percutaneous Endoscopic Approach
00580ZZ Destruction of Basal Ganglia, Open Approach
00583ZZ Destruction of Basal Ganglia, Percutaneous Approach
00584ZZ Destruction of Basal Ganglia, Percutaneous Endoscopic Approach
00590ZZ Destruction of Thalamus, Open Approach
00593ZZ Destruction of Thalamus, Percutaneous Approach
00594ZZ Destruction of Thalamus, Percutaneous Endoscopic Approach
005A0ZZ Destruction of Hypothalamus, Open Approach
005A3ZZ Destruction of Hypothalamus, Percutaneous Approach
005A4ZZ Destruction of Hypothalamus, Percutaneous Endoscopic Approach
005B0ZZ Destruction of Pons, Open Approach
005B3ZZ Destruction of Pons, Percutaneous Approach
005B4ZZ Destruction of Pons, Percutaneous Endoscopic Approach
005C0ZZ Destruction of Cerebellum, Open Approach
005C3ZZ Destruction of Cerebellum, Percutaneous Approach
005C4ZZ Destruction of Cerebellum, Percutaneous Endoscopic Approach
005D0ZZ Destruction of Medulla Oblongata, Open Approach
005D3ZZ Destruction of Medulla Oblongata, Percutaneous Approach
005D4ZZ Destruction of Medulla Oblongata, Percutaneous Endoscopic Approach
005F0ZZ Destruction of Olfactory Nerve, Open Approach
005F3ZZ Destruction of Olfactory Nerve, Percutaneous Approach
005F4ZZ Destruction of Olfactory Nerve, Percutaneous Endoscopic Approach
005G0ZZ Destruction of Optic Nerve, Open Approach
005G3ZZ Destruction of Optic Nerve, Percutaneous Approach
005G4ZZ Destruction of Optic Nerve, Percutaneous Endoscopic Approach
005H0ZZ Destruction of Oculomotor Nerve, Open Approach
005H3ZZ Destruction of Oculomotor Nerve, Percutaneous Approach
005H4ZZ Destruction of Oculomotor Nerve, Percutaneous Endoscopic Approach
005J0ZZ Destruction of Trochlear Nerve, Open Approach
005J3ZZ Destruction of Trochlear Nerve, Percutaneous Approach
005J4ZZ Destruction of Trochlear Nerve, Percutaneous Endoscopic Approach
005K0ZZ Destruction of Trigeminal Nerve, Open Approach
005K3ZZ Destruction of Trigeminal Nerve, Percutaneous Approach
005K4ZZ Destruction of Trigeminal Nerve, Percutaneous Endoscopic Approach
005L0ZZ Destruction of Abducens Nerve, Open Approach
005L3ZZ Destruction of Abducens Nerve, Percutaneous Approach
005L4ZZ Destruction of Abducens Nerve, Percutaneous Endoscopic Approach
005M0ZZ Destruction of Facial Nerve, Open Approach
005M3ZZ Destruction of Facial Nerve, Percutaneous Approach
005M4ZZ Destruction of Facial Nerve, Percutaneous Endoscopic Approach
005N0ZZ Destruction of Acoustic Nerve, Open Approach
005N3ZZ Destruction of Acoustic Nerve, Percutaneous Approach
005N4ZZ Destruction of Acoustic Nerve, Percutaneous Endoscopic Approach
005P0ZZ Destruction of Glossopharyngeal Nerve, Open Approach
005P3ZZ Destruction of Glossopharyngeal Nerve, Percutaneous Approach
005P4ZZ Destruction of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach
005Q0ZZ Destruction of Vagus Nerve, Open Approach
005Q3ZZ Destruction of Vagus Nerve, Percutaneous Approach
005Q4ZZ Destruction of Vagus Nerve, Percutaneous Endoscopic Approach
005R0ZZ Destruction of Accessory Nerve, Open Approach
005R3ZZ Destruction of Accessory Nerve, Percutaneous Approach
005R4ZZ Destruction of Accessory Nerve, Percutaneous Endoscopic Approach
005S0ZZ Destruction of Hypoglossal Nerve, Open Approach
005S3ZZ Destruction of Hypoglossal Nerve, Percutaneous Approach
005S4ZZ Destruction of Hypoglossal Nerve, Percutaneous Endoscopic Approach
005T0ZZ Destruction of Spinal Meninges, Open Approach
005T3ZZ Destruction of Spinal Meninges, Percutaneous Approach
005T4ZZ Destruction of Spinal Meninges, Percutaneous Endoscopic Approach
005W0ZZ Destruction of Cervical Spinal Cord, Open Approach
005W3ZZ Destruction of Cervical Spinal Cord, Percutaneous Approach
005W4ZZ Destruction of Cervical Spinal Cord, Percutaneous Endoscopic Approach
005X0ZZ Destruction of Thoracic Spinal Cord, Open Approach
005X3ZZ Destruction of Thoracic Spinal Cord, Percutaneous Approach
005X4ZZ Destruction of Thoracic Spinal Cord, Percutaneous Endoscopic Approach
005Y0ZZ Destruction of Lumbar Spinal Cord, Open Approach
005Y3ZZ Destruction of Lumbar Spinal Cord, Percutaneous Approach
005Y4ZZ Destruction of Lumbar Spinal Cord, Percutaneous Endoscopic Approach
00760ZZ Dilation of Cerebral Ventricle, Open Approach
00763ZZ Dilation of Cerebral Ventricle, Percutaneous Approach
00764ZZ Dilation of Cerebral Ventricle, Percutaneous Endoscopic Approach
00800ZZ Division of Brain, Open Approach
00803ZZ Division of Brain, Percutaneous Approach
00804ZZ Division of Brain, Percutaneous Endoscopic Approach
00870ZZ Division of Cerebral Hemisphere, Open Approach
00873ZZ Division of Cerebral Hemisphere, Percutaneous Approach
00874ZZ Division of Cerebral Hemisphere, Percutaneous Endoscopic Approach
00880ZZ Division of Basal Ganglia, Open Approach
00883ZZ Division of Basal Ganglia, Percutaneous Approach
00884ZZ Division of Basal Ganglia, Percutaneous Endoscopic Approach
008F0ZZ Division of Olfactory Nerve, Open Approach
008F3ZZ Division of Olfactory Nerve, Percutaneous Approach
008F4ZZ Division of Olfactory Nerve, Percutaneous Endoscopic Approach
008G0ZZ Division of Optic Nerve, Open Approach
008G3ZZ Division of Optic Nerve, Percutaneous Approach
008G4ZZ Division of Optic Nerve, Percutaneous Endoscopic Approach
008H0ZZ Division of Oculomotor Nerve, Open Approach
008H3ZZ Division of Oculomotor Nerve, Percutaneous Approach
008H4ZZ Division of Oculomotor Nerve, Percutaneous Endoscopic Approach
008J0ZZ Division of Trochlear Nerve, Open Approach
008J3ZZ Division of Trochlear Nerve, Percutaneous Approach
008J4ZZ Division of Trochlear Nerve, Percutaneous Endoscopic Approach
008K0ZZ Division of Trigeminal Nerve, Open Approach
008K3ZZ Division of Trigeminal Nerve, Percutaneous Approach
008K4ZZ Division of Trigeminal Nerve, Percutaneous Endoscopic Approach
008L0ZZ Division of Abducens Nerve, Open Approach
008L3ZZ Division of Abducens Nerve, Percutaneous Approach
008L4ZZ Division of Abducens Nerve, Percutaneous Endoscopic Approach
008M0ZZ Division of Facial Nerve, Open Approach
008M3ZZ Division of Facial Nerve, Percutaneous Approach
008M4ZZ Division of Facial Nerve, Percutaneous Endoscopic Approach
008N0ZZ Division of Acoustic Nerve, Open Approach
008N3ZZ Division of Acoustic Nerve, Percutaneous Approach
008N4ZZ Division of Acoustic Nerve, Percutaneous Endoscopic Approach
008P0ZZ Division of Glossopharyngeal Nerve, Open Approach
008P3ZZ Division of Glossopharyngeal Nerve, Percutaneous Approach
008P4ZZ Division of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach
008Q0ZZ Division of Vagus Nerve, Open Approach
008Q3ZZ Division of Vagus Nerve, Percutaneous Approach
008Q4ZZ Division of Vagus Nerve, Percutaneous Endoscopic Approach
008R0ZZ Division of Accessory Nerve, Open Approach
008R3ZZ Division of Accessory Nerve, Percutaneous Approach
008R4ZZ Division of Accessory Nerve, Percutaneous Endoscopic Approach
008S0ZZ Division of Hypoglossal Nerve, Open Approach
008S3ZZ Division of Hypoglossal Nerve, Percutaneous Approach
008S4ZZ Division of Hypoglossal Nerve, Percutaneous Endoscopic Approach
008W0ZZ Division of Cervical Spinal Cord, Open Approach
008W3ZZ Division of Cervical Spinal Cord, Percutaneous Approach
008W4ZZ Division of Cervical Spinal Cord, Percutaneous Endoscopic Approach
008X0ZZ Division of Thoracic Spinal Cord, Open Approach
008X3ZZ Division of Thoracic Spinal Cord, Percutaneous Approach
008X4ZZ Division of Thoracic Spinal Cord, Percutaneous Endoscopic Approach
008Y0ZZ Division of Lumbar Spinal Cord, Open Approach
008Y3ZZ Division of Lumbar Spinal Cord, Percutaneous Approach
008Y4ZZ Division of Lumbar Spinal Cord, Percutaneous Endoscopic Approach
009000Z Drainage of Brain with Drainage Device, Open Approach
00900ZX Drainage of Brain, Open Approach, Diagnostic
00900ZZ Drainage of Brain, Open Approach
009030Z Drainage of Brain with Drainage Device, Percutaneous Approach
00903ZX Drainage of Brain, Percutaneous Approach, Diagnostic
00903ZZ Drainage of Brain, Percutaneous Approach
009040Z Drainage of Brain with Drainage Device, Percutaneous Endoscopic Approach
00904ZX Drainage of Brain, Percutaneous Endoscopic Approach, Diagnostic
00904ZZ Drainage of Brain, Percutaneous Endoscopic Approach
009100Z Drainage of Cerebral Meninges with Drainage Device, Open Approach
00910ZX Drainage of Cerebral Meninges, Open Approach, Diagnostic
00910ZZ Drainage of Cerebral Meninges, Open Approach
009130Z Drainage of Cerebral Meninges with Drainage Device, Percutaneous Approach
00913ZX Drainage of Cerebral Meninges, Percutaneous Approach, Diagnostic
00913ZZ Drainage of Cerebral Meninges, Percutaneous Approach
009140Z Drainage of Cerebral Meninges with Drainage Device, Percutaneous Endoscopic Approach
00914ZX Drainage of Cerebral Meninges, Percutaneous Endoscopic Approach, Diagnostic
00914ZZ Drainage of Cerebral Meninges, Percutaneous Endoscopic Approach
009200Z Drainage of Dura Mater with Drainage Device, Open Approach
00920ZX Drainage of Dura Mater, Open Approach, Diagnostic
00920ZZ Drainage of Dura Mater, Open Approach
009230Z Drainage of Dura Mater with Drainage Device, Percutaneous Approach
00923ZX Drainage of Dura Mater, Percutaneous Approach, Diagnostic
00923ZZ Drainage of Dura Mater, Percutaneous Approach
009240Z Drainage of Dura Mater with Drainage Device, Percutaneous Endoscopic Approach
00924ZX Drainage of Dura Mater, Percutaneous Endoscopic Approach, Diagnostic
00924ZZ Drainage of Dura Mater, Percutaneous Endoscopic Approach
009300Z Drainage of Intracranial Epidural Space with Drainage Device, Open Approach
00930ZX Drainage of Intracranial Epidural Space, Open Approach, Diagnostic
00930ZZ Drainage of Intracranial Epidural Space, Open Approach
009330Z Drainage of Intracranial Epidural Space with Drainage Device, Percutaneous Approach
00933ZX Drainage of Intracranial Epidural Space, Percutaneous Approach, Diagnostic
00933ZZ Drainage of Intracranial Epidural Space, Percutaneous Approach
009340Z Drainage of Intracranial Epidural Space with Drainage Device, Percutaneous Endoscopic Approach
00934ZX Drainage of Intracranial Epidural Space, Percutaneous Endoscopic Approach, Diagnostic
00934ZZ Drainage of Intracranial Epidural Space, Percutaneous Endoscopic Approach
009400Z Drainage of Intracranial Subdural Space with Drainage Device, Open Approach
00940ZX Drainage of Intracranial Subdural Space, Open Approach, Diagnostic
00940ZZ Drainage of Intracranial Subdural Space, Open Approach
009430Z Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Approach
00943ZX Drainage of Intracranial Subdural Space, Percutaneous Approach, Diagnostic
00943ZZ Drainage of Intracranial Subdural Space, Percutaneous Approach
009440Z Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Endoscopic Approach
00944ZX Drainage of Intracranial Subdural Space, Percutaneous Endoscopic Approach, Diagnostic
00944ZZ Drainage of Intracranial Subdural Space, Percutaneous Endoscopic Approach
009500Z Drainage of Intracranial Subarachnoid Space with Drainage Device, Open Approach
00950ZX Drainage of Intracranial Subarachnoid Space, Open Approach, Diagnostic
00950ZZ Drainage of Intracranial Subarachnoid Space, Open Approach
009530Z Drainage of Intracranial Subarachnoid Space with Drainage Device, Percutaneous Approach
00953ZX Drainage of Intracranial Subarachnoid Space, Percutaneous Approach, Diagnostic
00953ZZ Drainage of Intracranial Subarachnoid Space, Percutaneous Approach
009540Z Drainage of Intracranial Subarachnoid Space with Drainage Device, Percutaneous Endoscopic Approach
00954ZX Drainage of Intracranial Subarachnoid Space, Percutaneous Endoscopic Approach, Diagnostic
00954ZZ Drainage of Intracranial Subarachnoid Space, Percutaneous Endoscopic Approach
009600Z Drainage of Cerebral Ventricle with Drainage Device, Open Approach
00960ZX Drainage of Cerebral Ventricle, Open Approach, Diagnostic
00960ZZ Drainage of Cerebral Ventricle, Open Approach
009630Z Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Approach
00963ZX Drainage of Cerebral Ventricle, Percutaneous Approach, Diagnostic
00963ZZ Drainage of Cerebral Ventricle, Percutaneous Approach
009640Z Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Endoscopic Approach
00964ZX Drainage of Cerebral Ventricle, Percutaneous Endoscopic Approach, Diagnostic
00964ZZ Drainage of Cerebral Ventricle, Percutaneous Endoscopic Approach
009700Z Drainage of Cerebral Hemisphere with Drainage Device, Open Approach
00970ZX Drainage of Cerebral Hemisphere, Open Approach, Diagnostic
00970ZZ Drainage of Cerebral Hemisphere, Open Approach
009730Z Drainage of Cerebral Hemisphere with Drainage Device, Percutaneous Approach
00973ZX Drainage of Cerebral Hemisphere, Percutaneous Approach, Diagnostic
00973ZZ Drainage of Cerebral Hemisphere, Percutaneous Approach
009740Z Drainage of Cerebral Hemisphere with Drainage Device, Percutaneous Endoscopic Approach
00974ZX Drainage of Cerebral Hemisphere, Percutaneous Endoscopic Approach, Diagnostic
00974ZZ Drainage of Cerebral Hemisphere, Percutaneous Endoscopic Approach
009800Z Drainage of Basal Ganglia with Drainage Device, Open Approach
00980ZX Drainage of Basal Ganglia, Open Approach, Diagnostic
00980ZZ Drainage of Basal Ganglia, Open Approach
009830Z Drainage of Basal Ganglia with Drainage Device, Percutaneous Approach
00983ZX Drainage of Basal Ganglia, Percutaneous Approach, Diagnostic
00983ZZ Drainage of Basal Ganglia, Percutaneous Approach
009840Z Drainage of Basal Ganglia with Drainage Device, Percutaneous Endoscopic Approach
00984ZX Drainage of Basal Ganglia, Percutaneous Endoscopic Approach, Diagnostic
00984ZZ Drainage of Basal Ganglia, Percutaneous Endoscopic Approach
009900Z Drainage of Thalamus with Drainage Device, Open Approach
00990ZX Drainage of Thalamus, Open Approach, Diagnostic
00990ZZ Drainage of Thalamus, Open Approach
009930Z Drainage of Thalamus with Drainage Device, Percutaneous Approach
00993ZX Drainage of Thalamus, Percutaneous Approach, Diagnostic
00993ZZ Drainage of Thalamus, Percutaneous Approach
009940Z Drainage of Thalamus with Drainage Device, Percutaneous Endoscopic Approach
00994ZX Drainage of Thalamus, Percutaneous Endoscopic Approach, Diagnostic
00994ZZ Drainage of Thalamus, Percutaneous Endoscopic Approach
009A00Z Drainage of Hypothalamus with Drainage Device, Open Approach
009A0ZX Drainage of Hypothalamus, Open Approach, Diagnostic
009A0ZZ Drainage of Hypothalamus, Open Approach
009A30Z Drainage of Hypothalamus with Drainage Device, Percutaneous Approach
009A3ZX Drainage of Hypothalamus, Percutaneous Approach, Diagnostic
009A3ZZ Drainage of Hypothalamus, Percutaneous Approach
009A40Z Drainage of Hypothalamus with Drainage Device, Percutaneous Endoscopic Approach
009A4ZX Drainage of Hypothalamus, Percutaneous Endoscopic Approach, Diagnostic
009A4ZZ Drainage of Hypothalamus, Percutaneous Endoscopic Approach
009B00Z Drainage of Pons with Drainage Device, Open Approach
009B0ZX Drainage of Pons, Open Approach, Diagnostic
009B0ZZ Drainage of Pons, Open Approach
009B30Z Drainage of Pons with Drainage Device, Percutaneous Approach
